order_id,store_id,partner_id,category,order_time,promised_time,delivered_time,delivered_time_dt,delivery_minutes,city,locality,vehicle_type,order_hour,is_on_time,at_risk,predicted_risk_score,predicted_at_risk
O01234,S009,P044,Fruits & Vegetables,2026-06-23 07:13:00,2026-06-23 07:23:00,2026-06-23 07:25:17,2026-06-23 07:25:17,12.283333333333333,Mumbai,Kurla,scooter,7,0,1,0.5422987764382815,1
O01596,S012,P012,Grocery,2026-06-28 12:29:00,2026-06-28 12:39:00,2026-06-28 12:33:30,2026-06-28 12:33:30,4.5,Bengaluru,Indiranagar,bike,12,1,0,0.10668348332570994,0
O01456,S007,P007,Bakery,2026-06-01 20:28:00,2026-06-01 20:38:00,2026-06-01 20:45:19,2026-06-01 20:45:19,17.316666666666666,Mumbai,Borivali,bike,20,0,1,0.934591505339288,1
O01480,S020,P004,Snacks,2026-06-19 14:58:00,2026-06-19 15:08:00,2026-06-19 15:06:25,2026-06-19 15:06:25,8.416666666666666,Bengaluru,Malleshwaram,bike,14,1,0,0.4131034937056594,0
O00453,S010,P056,Household,2026-06-29 13:24:00,2026-06-29 13:34:00,2026-06-29 13:29:33,2026-06-29 13:29:33,5.55,Mumbai,Goregaon,bike,13,1,0,0.3717885266833172,0
O01238,S008,P018,Grocery,2026-06-04 12:14:00,2026-06-04 12:24:00,2026-06-04 12:24:00,2026-06-04 12:24:00,10.0,Mumbai,Worli,scooter,12,1,0,0.42812820576674454,0
O00573,S003,P033,Beverages,2026-06-07 08:10:00,2026-06-07 08:20:00,2026-06-07 08:16:58,2026-06-07 08:16:58,6.966666666666667,Mumbai,Powai,scooter,8,1,0,0.43951739503872006,0
O01611,S001,P050,Dairy,2026-06-26 01:40:00,2026-06-26 01:50:00,2026-06-26 01:46:29,2026-06-26 01:46:29,6.483333333333333,Mumbai,Andheri,bike,1,1,0,0.21410124774021297,0
O00302,S005,P054,Personal Care,2026-06-03 18:00:00,2026-06-03 18:10:00,2026-06-03 18:08:45,2026-06-03 18:08:45,8.75,Mumbai,Malad,bike,18,1,0,0.36615364962748403,0
O01543,S011,P018,Bakery,2026-06-21 19:43:00,2026-06-21 19:53:00,2026-06-21 19:52:37,2026-06-21 19:52:37,9.616666666666667,Bengaluru,Koramangala,scooter,19,1,0,0.7126125041651618,1
O00685,S019,P006,Snacks,2026-06-22 13:23:00,2026-06-22 13:33:00,2026-06-22 13:30:50,2026-06-22 13:30:50,7.833333333333333,Bengaluru,Yelahanka,bike,13,1,0,0.3648219861708515,0
O01669,S020,P057,Fruits & Vegetables,2026-06-18 15:12:00,2026-06-18 15:22:00,2026-06-18 15:22:29,2026-06-18 15:22:29,10.483333333333333,Bengaluru,Malleshwaram,bicycle,15,0,1,0.6174720829228574,1
O00757,S004,P030,Beverages,2026-06-22 17:49:00,2026-06-22 17:59:00,2026-06-22 17:54:50,2026-06-22 17:54:50,5.833333333333333,Mumbai,Dadar,bike,17,1,0,0.48187894143733784,0
O01466,S017,P050,Beverages,2026-06-05 18:37:00,2026-06-05 18:47:00,2026-06-05 18:47:26,2026-06-05 18:47:26,10.433333333333334,Bengaluru,JP Nagar,bike,18,0,1,0.6397330424042919,1
O01346,S016,P008,Beverages,2026-06-15 04:09:00,2026-06-15 04:19:00,2026-06-15 04:24:18,2026-06-15 04:24:18,15.3,Bengaluru,Marathahalli,bike,4,0,1,0.23223418598554182,0
O00681,S015,P049,Snacks,2026-06-08 13:50:00,2026-06-08 14:00:00,2026-06-08 13:57:58,2026-06-08 13:57:58,7.966666666666667,Bengaluru,Jayanagar,bike,13,1,0,0.33778293445145935,0
O00442,S004,P020,Fruits & Vegetables,2026-06-16 14:42:00,2026-06-16 14:52:00,2026-06-16 14:45:57,2026-06-16 14:45:57,3.95,Mumbai,Dadar,bike,14,1,0,0.6102083335606264,1
O00771,S018,P053,Household,2026-06-04 20:55:00,2026-06-04 21:05:00,2026-06-04 21:05:44,2026-06-04 21:05:44,10.733333333333333,Bengaluru,Electronic City,scooter,20,0,1,0.40756063836287576,0
O00847,S011,P034,Grocery,2026-06-10 13:17:00,2026-06-10 13:27:00,2026-06-10 13:25:12,2026-06-10 13:25:12,8.2,Bengaluru,Koramangala,bike,13,1,0,0.5920091738184942,1
O00024,S019,P007,Snacks,2026-06-18 09:16:00,2026-06-18 09:26:00,2026-06-18 09:24:44,2026-06-18 09:24:44,8.733333333333333,Bengaluru,Yelahanka,bike,9,1,0,0.2922667495125801,0
O01518,S003,P005,Personal Care,2026-06-19 15:36:00,2026-06-19 15:46:00,2026-06-19 15:45:41,2026-06-19 15:45:41,9.683333333333334,Mumbai,Powai,bike,15,1,0,0.4653278078567513,0
O01786,S012,P050,Dairy,2026-06-28 14:05:00,2026-06-28 14:15:00,2026-06-28 14:11:57,2026-06-28 14:11:57,6.95,Bengaluru,Indiranagar,bike,14,1,0,0.11984407581393139,0
O00611,S009,P026,Personal Care,2026-06-25 16:03:00,2026-06-25 16:13:00,2026-06-25 16:09:41,2026-06-25 16:09:41,6.683333333333334,Mumbai,Kurla,scooter,16,1,0,0.4183938014786066,0
O01380,S006,P012,Beverages,2026-06-01 21:42:00,2026-06-01 21:52:00,2026-06-01 21:55:32,2026-06-01 21:55:32,13.533333333333333,Mumbai,Chembur,bike,21,0,1,0.619808516591854,1
O00675,S009,P024,Personal Care,2026-06-08 10:19:00,2026-06-08 10:29:00,2026-06-08 10:29:27,2026-06-08 10:29:27,10.45,Mumbai,Kurla,bike,10,0,1,0.3048670483531174,0
O01706,S016,P060,Beverages,2026-06-12 08:21:00,2026-06-12 08:31:00,2026-06-12 08:28:37,2026-06-12 08:28:37,7.616666666666666,Bengaluru,Marathahalli,scooter,8,1,0,0.2961219203876642,0
O00666,S010,P005,Personal Care,2026-06-17 07:46:00,2026-06-17 07:56:00,2026-06-17 07:51:22,2026-06-17 07:51:22,5.366666666666666,Mumbai,Goregaon,bike,7,1,0,0.19243515775400485,0
O00005,S010,P016,Grocery,2026-06-08 20:05:00,2026-06-08 20:15:00,2026-06-08 20:18:20,2026-06-08 20:18:20,13.333333333333334,Mumbai,Goregaon,bike,20,0,1,0.5583618160378362,1
O00665,S014,P053,Household,2026-06-26 18:52:00,2026-06-26 19:02:00,2026-06-26 19:01:39,2026-06-26 19:01:39,9.65,Bengaluru,HSR Layout,scooter,18,1,0,0.8738326129888945,1
O00842,S014,P034,Fruits & Vegetables,2026-06-16 19:44:00,2026-06-16 19:54:00,2026-06-16 19:57:02,2026-06-16 19:57:02,13.033333333333333,Bengaluru,HSR Layout,bike,19,0,1,0.9450158194045852,1
O00896,S001,P049,Snacks,2026-06-26 07:38:00,2026-06-26 07:48:00,2026-06-26 07:43:49,2026-06-26 07:43:49,5.816666666666666,Mumbai,Andheri,bike,7,1,0,0.29430272294726306,0
O00516,S004,P017,Personal Care,2026-06-07 07:54:00,2026-06-07 08:04:00,2026-06-07 08:03:42,2026-06-07 08:03:42,9.7,Mumbai,Dadar,bike,7,1,0,0.20255502695871958,0
O01572,S003,P007,Dairy,2026-06-07 20:31:00,2026-06-07 20:41:00,2026-06-07 20:48:05,2026-06-07 20:48:05,17.083333333333332,Mumbai,Powai,bike,20,0,1,0.6976799426384607,1
O00249,S016,P034,Fruits & Vegetables,2026-06-11 22:29:00,2026-06-11 22:39:00,2026-06-11 22:40:46,2026-06-11 22:40:46,11.766666666666667,Bengaluru,Marathahalli,bike,22,0,1,0.7421100432220712,1
O00971,S020,P054,Beverages,2026-06-17 11:57:00,2026-06-17 12:07:00,2026-06-17 12:07:23,2026-06-17 12:07:23,10.383333333333333,Bengaluru,Malleshwaram,bike,11,0,1,0.3499623280737599,0
O01094,S019,P043,Dairy,2026-06-02 09:52:00,2026-06-02 10:02:00,2026-06-02 10:02:27,2026-06-02 10:02:27,10.45,Bengaluru,Yelahanka,bike,9,0,1,0.3067526844024853,0
O01521,S011,P016,Household,2026-06-08 13:47:00,2026-06-08 13:57:00,2026-06-08 13:59:07,2026-06-08 13:59:07,12.116666666666667,Bengaluru,Koramangala,bike,13,0,1,0.5474920491304178,1
O01078,S017,P030,Bakery,2026-06-12 15:02:00,2026-06-12 15:12:00,2026-06-12 15:10:13,2026-06-12 15:10:13,8.216666666666667,Bengaluru,JP Nagar,bike,15,1,0,0.6203928219903593,1
O01686,S017,P024,Fruits & Vegetables,2026-06-28 21:41:00,2026-06-28 21:51:00,2026-06-28 21:49:34,2026-06-28 21:49:34,8.566666666666666,Bengaluru,JP Nagar,bike,21,1,0,0.830583254793423,1
O01055,S002,P020,Fruits & Vegetables,2026-06-04 11:26:00,2026-06-04 11:36:00,2026-06-04 11:36:47,2026-06-04 11:36:47,10.783333333333333,Mumbai,Bandra,bike,11,0,1,0.5413303528942639,1
O01011,S004,P051,Fruits & Vegetables,2026-06-16 11:13:00,2026-06-16 11:23:00,2026-06-16 11:15:00,2026-06-16 11:15:00,2.0,Mumbai,Dadar,bike,11,1,0,0.5500220011761837,1
O01430,S010,P046,Household,2026-06-29 15:42:00,2026-06-29 15:52:00,2026-06-29 15:51:14,2026-06-29 15:51:14,9.233333333333333,Mumbai,Goregaon,bike,15,1,0,0.41105655625265114,0
O00151,S017,P014,Dairy,2026-06-22 14:54:00,2026-06-22 15:04:00,2026-06-22 15:06:55,2026-06-22 15:06:55,12.916666666666666,Bengaluru,JP Nagar,scooter,14,0,1,0.5827280598854452,1
O00953,S015,P051,Dairy,2026-06-01 12:40:00,2026-06-01 12:50:00,2026-06-01 12:47:54,2026-06-01 12:47:54,7.9,Bengaluru,Jayanagar,bike,12,1,0,0.334787466409159,0
O00265,S013,P053,Fruits & Vegetables,2026-06-17 11:25:00,2026-06-17 11:35:00,2026-06-17 11:33:05,2026-06-17 11:33:05,8.083333333333334,Bengaluru,Whitefield,scooter,11,1,0,0.5007990195685225,1
O01328,S010,P013,Personal Care,2026-06-21 21:15:00,2026-06-21 21:25:00,2026-06-21 21:27:10,2026-06-21 21:27:10,12.166666666666666,Mumbai,Goregaon,bike,21,0,1,0.43055231444691733,0
O01251,S017,P044,Grocery,2026-06-20 13:10:00,2026-06-20 13:20:00,2026-06-20 13:18:01,2026-06-20 13:18:01,8.016666666666667,Bengaluru,JP Nagar,scooter,13,1,0,0.5708430419811511,1
O00776,S014,P036,Bakery,2026-06-13 12:11:00,2026-06-13 12:21:00,2026-06-13 12:21:17,2026-06-13 12:21:17,10.283333333333333,Bengaluru,HSR Layout,bike,12,0,1,0.840657633557257,1
O00433,S002,P025,Bakery,2026-06-24 13:10:00,2026-06-24 13:20:00,2026-06-24 13:19:24,2026-06-24 13:19:24,9.4,Mumbai,Bandra,scooter,13,1,0,0.43216043961653305,0
O00149,S012,P052,Dairy,2026-06-18 06:35:00,2026-06-18 06:45:00,2026-06-18 06:39:42,2026-06-18 06:39:42,4.7,Bengaluru,Indiranagar,bike,6,1,0,0.06576030183759576,0
O01096,S015,P039,Household,2026-06-28 16:21:00,2026-06-28 16:31:00,2026-06-28 16:27:54,2026-06-28 16:27:54,6.9,Bengaluru,Jayanagar,bike,16,1,0,0.376447182759587,0
O01300,S020,P001,Grocery,2026-06-26 07:47:00,2026-06-26 07:57:00,2026-06-26 07:56:08,2026-06-26 07:56:08,9.133333333333333,Bengaluru,Malleshwaram,scooter,7,1,0,0.30456717432453645,0
O01725,S006,P042,Household,2026-06-15 15:44:00,2026-06-15 15:54:00,2026-06-15 15:52:11,2026-06-15 15:52:11,8.183333333333334,Mumbai,Chembur,bike,15,1,0,0.48390817970278166,0
O00687,S015,P040,Dairy,2026-06-15 05:52:00,2026-06-15 06:02:00,2026-06-15 06:01:07,2026-06-15 06:01:07,9.116666666666667,Bengaluru,Jayanagar,bike,5,1,0,0.22029575416077707,0
O00182,S017,P050,Grocery,2026-06-22 11:49:00,2026-06-22 11:59:00,2026-06-22 12:00:18,2026-06-22 12:00:18,11.3,Bengaluru,JP Nagar,bike,11,0,1,0.5300485661954296,1
O00617,S004,P047,Beverages,2026-06-26 09:27:00,2026-06-26 09:37:00,2026-06-26 09:35:04,2026-06-26 09:35:04,8.066666666666666,Mumbai,Dadar,bicycle,9,1,0,0.32468469741926054,0
O01492,S012,P058,Personal Care,2026-06-15 18:23:00,2026-06-15 18:33:00,2026-06-15 18:31:10,2026-06-15 18:31:10,8.166666666666666,Bengaluru,Indiranagar,bike,18,1,0,0.09736880372976503,0
O00053,S016,P029,Beverages,2026-06-25 09:40:00,2026-06-25 09:50:00,2026-06-25 09:48:35,2026-06-25 09:48:35,8.583333333333334,Bengaluru,Marathahalli,bike,9,1,0,0.31359666519903534,0
O00669,S014,P057,Snacks,2026-06-06 19:35:00,2026-06-06 19:45:00,2026-06-06 19:45:00,2026-06-06 19:45:00,10.0,Bengaluru,HSR Layout,bicycle,19,1,0,0.8905771234819221,1
O00983,S013,P006,Grocery,2026-06-28 09:24:00,2026-06-28 09:34:00,2026-06-28 09:32:18,2026-06-28 09:32:18,8.3,Bengaluru,Whitefield,bike,9,1,0,0.3086534629265374,0
O01226,S017,P054,Snacks,2026-06-25 19:42:00,2026-06-25 19:52:00,2026-06-25 19:51:03,2026-06-25 19:51:03,9.05,Bengaluru,JP Nagar,bike,19,1,0,0.6631375694250691,1
O01552,S014,P029,Household,2026-06-08 18:07:00,2026-06-08 18:17:00,2026-06-08 18:17:29,2026-06-08 18:17:29,10.483333333333333,Bengaluru,HSR Layout,bike,18,0,1,0.8738326129888945,1
O00089,S001,P027,Bakery,2026-06-23 17:18:00,2026-06-23 17:28:00,2026-06-23 17:26:41,2026-06-23 17:26:41,8.683333333333334,Mumbai,Andheri,bike,17,1,0,0.5234818669215491,1
O00102,S008,P046,Dairy,2026-06-10 16:35:00,2026-06-10 16:45:00,2026-06-10 16:47:21,2026-06-10 16:47:21,12.35,Mumbai,Worli,bike,16,0,1,0.5016567977066392,1
O00968,S018,P003,Dairy,2026-06-09 08:31:00,2026-06-09 08:41:00,2026-06-09 08:39:14,2026-06-09 08:39:14,8.233333333333333,Bengaluru,Electronic City,bike,8,1,0,0.22867237495186046,0
O00374,S006,P029,Household,2026-06-24 09:47:00,2026-06-24 09:57:00,2026-06-24 09:56:35,2026-06-24 09:56:35,9.583333333333334,Mumbai,Chembur,bike,9,1,0,0.36372185016253095,0
O00878,S009,P027,Dairy,2026-06-18 14:36:00,2026-06-18 14:46:00,2026-06-18 14:44:55,2026-06-18 14:44:55,8.916666666666666,Mumbai,Kurla,bike,14,1,0,0.517113920463934,1
O00160,S020,P004,Grocery,2026-06-07 11:13:00,2026-06-07 11:23:00,2026-06-07 11:20:22,2026-06-07 11:20:22,7.366666666666666,Bengaluru,Malleshwaram,bike,11,1,0,0.3785427341770766,0
O01381,S002,P008,Household,2026-06-12 14:39:00,2026-06-12 14:49:00,2026-06-12 14:46:30,2026-06-12 14:46:30,7.5,Mumbai,Bandra,bike,14,1,0,0.39812764228013053,0
O01193,S008,P024,Bakery,2026-06-20 18:55:00,2026-06-20 19:05:00,2026-06-20 19:01:35,2026-06-20 19:01:35,6.583333333333333,Mumbai,Worli,bike,18,1,0,0.5612746483323295,1
O01508,S003,P018,Household,2026-06-03 13:16:00,2026-06-03 13:26:00,2026-06-03 13:24:18,2026-06-03 13:24:18,8.3,Mumbai,Powai,scooter,13,1,0,0.5277194484917345,1
O00717,S015,P006,Beverages,2026-06-11 18:58:00,2026-06-11 19:08:00,2026-06-11 19:06:31,2026-06-11 19:06:31,8.516666666666667,Bengaluru,Jayanagar,bike,18,1,0,0.43010194777512845,0
O00965,S007,P046,Fruits & Vegetables,2026-06-23 13:38:00,2026-06-23 13:48:00,2026-06-23 13:50:32,2026-06-23 13:50:32,12.533333333333333,Mumbai,Borivali,bike,13,0,1,0.9361846030139609,1
O01039,S005,P046,Snacks,2026-06-23 09:30:00,2026-06-23 09:40:00,2026-06-23 09:38:13,2026-06-23 09:38:13,8.216666666666667,Mumbai,Malad,bike,9,1,0,0.31060573079666937,0
O00561,S018,P007,Dairy,2026-06-21 17:53:00,2026-06-21 18:03:00,2026-06-21 18:00:56,2026-06-21 18:00:56,7.933333333333334,Bengaluru,Electronic City,bike,17,1,0,0.38377927881466667,0
O00741,S011,P052,Household,2026-06-03 22:17:00,2026-06-03 22:27:00,2026-06-03 22:27:04,2026-06-03 22:27:04,10.066666666666666,Bengaluru,Koramangala,bike,22,0,1,0.7176486530484817,1
O01679,S003,P030,Bakery,2026-06-25 09:16:00,2026-06-25 09:26:00,2026-06-25 09:23:21,2026-06-25 09:23:21,7.35,Mumbai,Powai,bike,9,1,0,0.5009484706296486,1
O00557,S004,P019,Snacks,2026-06-29 08:31:00,2026-06-29 08:41:00,2026-06-29 08:35:37,2026-06-29 08:35:37,4.616666666666666,Mumbai,Dadar,bike,8,1,0,0.31127286336323134,0
O01794,S008,P029,Grocery,2026-06-08 16:42:00,2026-06-08 16:52:00,2026-06-08 16:46:47,2026-06-08 16:46:47,4.783333333333333,Mumbai,Worli,bike,16,1,0,0.5101017358760488,1
O00216,S003,P052,Household,2026-06-22 11:04:00,2026-06-22 11:14:00,2026-06-22 11:13:34,2026-06-22 11:13:34,9.566666666666666,Mumbai,Powai,bike,11,1,0,0.48651309967208756,0
O01583,S016,P001,Household,2026-06-14 08:30:00,2026-06-14 08:40:00,2026-06-14 08:44:12,2026-06-14 08:44:12,14.2,Bengaluru,Marathahalli,scooter,8,0,1,0.2841227994971006,0
O00607,S007,P032,Personal Care,2026-06-08 19:55:00,2026-06-08 20:05:00,2026-06-08 20:15:01,2026-06-08 20:15:01,20.016666666666666,Mumbai,Borivali,scooter,19,0,1,0.8742882780744177,1
O00181,S011,P050,Bakery,2026-06-07 09:08:00,2026-06-07 09:18:00,2026-06-07 09:18:02,2026-06-07 09:18:02,10.033333333333333,Bengaluru,Koramangala,bike,9,0,1,0.5208241708781824,1
O01198,S015,P011,Bakery,2026-06-04 14:34:00,2026-06-04 14:44:00,2026-06-04 14:45:38,2026-06-04 14:45:38,11.633333333333333,Bengaluru,Jayanagar,bike,14,0,1,0.3900977994295637,0
O00858,S015,P048,Grocery,2026-06-10 08:01:00,2026-06-10 08:11:00,2026-06-10 08:09:32,2026-06-10 08:09:32,8.533333333333333,Bengaluru,Jayanagar,bike,8,1,0,0.2723504209125843,0
O00684,S018,P040,Personal Care,2026-06-08 06:49:00,2026-06-08 06:59:00,2026-06-08 06:59:33,2026-06-08 06:59:33,10.55,Bengaluru,Electronic City,bike,6,0,1,0.1252550376757958,0
O01089,S020,P007,Household,2026-06-21 21:50:00,2026-06-21 22:00:00,2026-06-21 22:01:06,2026-06-21 22:01:06,11.1,Bengaluru,Malleshwaram,bike,21,0,1,0.5367556825888329,1
O01028,S010,P006,Grocery,2026-06-18 11:46:00,2026-06-18 11:56:00,2026-06-18 11:51:01,2026-06-18 11:51:01,5.016666666666667,Mumbai,Goregaon,bike,11,1,0,0.37571664917804715,0
O00606,S006,P031,Household,2026-06-12 09:36:00,2026-06-12 09:46:00,2026-06-12 09:41:13,2026-06-12 09:41:13,5.216666666666667,Mumbai,Chembur,bike,9,1,0,0.36372185016253095,0
O00039,S009,P003,Snacks,2026-06-20 13:46:00,2026-06-20 13:56:00,2026-06-20 13:55:15,2026-06-20 13:55:15,9.25,Mumbai,Kurla,bike,13,1,0,0.4792496552469675,0
O00535,S001,P022,Bakery,2026-06-23 21:02:00,2026-06-23 21:12:00,2026-06-23 21:14:20,2026-06-23 21:14:20,12.333333333333334,Mumbai,Andheri,bike,21,0,1,0.6044163925776905,1
O00724,S009,P040,Personal Care,2026-06-02 08:03:00,2026-06-02 08:13:00,2026-06-02 08:11:37,2026-06-02 08:11:37,8.616666666666667,Mumbai,Kurla,bike,8,1,0,0.2710741449397828,0
O00605,S001,P045,Beverages,2026-06-08 10:25:00,2026-06-08 10:35:00,2026-06-08 10:30:21,2026-06-08 10:30:21,5.35,Mumbai,Andheri,bike,10,1,0,0.34349110011284173,0
O00800,S009,P050,Fruits & Vegetables,2026-06-23 21:49:00,2026-06-23 21:59:00,2026-06-23 22:05:40,2026-06-23 22:05:40,16.666666666666668,Mumbai,Kurla,bike,21,0,1,0.7898906639459164,1
O01467,S012,P038,Fruits & Vegetables,2026-06-03 05:54:00,2026-06-03 06:04:00,2026-06-03 06:02:48,2026-06-03 06:02:48,8.8,Bengaluru,Indiranagar,bike,5,1,0,0.11327245037872018,0
O01139,S018,P019,Snacks,2026-06-23 18:57:00,2026-06-23 19:07:00,2026-06-23 19:06:07,2026-06-23 19:06:07,9.116666666666667,Bengaluru,Electronic City,bike,18,1,0,0.3869581051964861,0
O01674,S016,P056,Fruits & Vegetables,2026-06-03 19:16:00,2026-06-03 19:26:00,2026-06-03 19:23:59,2026-06-03 19:23:59,7.983333333333333,Bengaluru,Marathahalli,bike,19,1,0,0.6920106490095251,1
O00814,S007,P052,Bakery,2026-06-22 20:34:00,2026-06-22 20:44:00,2026-06-22 20:53:27,2026-06-22 20:53:27,19.45,Mumbai,Borivali,bike,20,0,1,0.934591505339288,1
O00658,S017,P025,Dairy,2026-06-29 02:54:00,2026-06-29 03:04:00,2026-06-29 03:01:39,2026-06-29 03:01:39,7.65,Bengaluru,JP Nagar,scooter,2,1,0,0.34169917928565335,0
O00429,S019,P003,Dairy,2026-06-20 11:51:00,2026-06-20 12:01:00,2026-06-20 12:01:14,2026-06-20 12:01:14,10.233333333333333,Bengaluru,Yelahanka,bike,11,0,1,0.3429010510748795,0
O00974,S015,P023,Bakery,2026-06-15 14:54:00,2026-06-15 15:04:00,2026-06-15 15:05:38,2026-06-15 15:05:38,11.633333333333333,Bengaluru,Jayanagar,bike,14,0,1,0.3900977994295637,0
O00101,S018,P009,Beverages,2026-06-15 20:31:00,2026-06-15 20:41:00,2026-06-15 20:43:32,2026-06-15 20:43:32,12.533333333333333,Bengaluru,Electronic City,bike,20,0,1,0.42170195546051725,0
O00966,S008,P031,Household,2026-06-20 21:51:00,2026-06-20 22:01:00,2026-06-20 22:07:31,2026-06-20 22:07:31,16.516666666666666,Mumbai,Worli,bike,21,0,1,0.5673527040687301,1
O00077,S016,P042,Bakery,2026-06-15 19:05:00,2026-06-15 19:15:00,2026-06-15 19:13:37,2026-06-15 19:13:37,8.616666666666667,Bengaluru,Marathahalli,bike,19,1,0,0.5512796489467373,1
O00038,S018,P022,Grocery,2026-06-04 20:16:00,2026-06-04 20:26:00,2026-06-04 20:27:28,2026-06-04 20:27:28,11.466666666666667,Bengaluru,Electronic City,bike,20,0,1,0.45206666731717016,0
O00541,S004,P025,Beverages,2026-06-18 18:01:00,2026-06-18 18:11:00,2026-06-18 18:11:24,2026-06-18 18:11:24,10.4,Mumbai,Dadar,scooter,18,0,1,0.5024900166451745,1
O01389,S019,P023,Household,2026-06-29 17:04:00,2026-06-29 17:14:00,2026-06-29 17:08:52,2026-06-29 17:08:52,4.866666666666666,Bengaluru,Yelahanka,bike,17,1,0,0.4247056616705934,0
O01795,S001,P032,Personal Care,2026-06-27 18:14:00,2026-06-27 18:24:00,2026-06-27 18:21:07,2026-06-27 18:21:07,7.116666666666666,Mumbai,Andheri,scooter,18,1,0,0.38672734706448136,0
O01053,S003,P008,Snacks,2026-06-18 08:09:00,2026-06-18 08:19:00,2026-06-18 08:19:26,2026-06-18 08:19:26,10.433333333333334,Mumbai,Powai,bike,8,0,1,0.444604615137993,0
O01191,S012,P056,Household,2026-06-26 07:29:00,2026-06-26 07:39:00,2026-06-26 07:37:51,2026-06-26 07:37:51,8.85,Bengaluru,Indiranagar,bike,7,1,0,0.061850440211734886,0
O00459,S012,P053,Grocery,2026-06-17 19:04:00,2026-06-17 19:14:00,2026-06-17 19:10:34,2026-06-17 19:10:34,6.566666666666666,Bengaluru,Indiranagar,scooter,19,1,0,0.17541269050604638,0
O01108,S009,P056,Dairy,2026-06-28 15:37:00,2026-06-28 15:47:00,2026-06-28 15:46:58,2026-06-28 15:46:58,9.966666666666667,Mumbai,Kurla,bike,15,1,0,0.5376681382246119,1
O00215,S020,P019,Bakery,2026-06-07 07:54:00,2026-06-07 08:04:00,2026-06-07 08:03:49,2026-06-07 08:03:49,9.816666666666666,Bengaluru,Malleshwaram,bike,7,1,0,0.3133141120525414,0
O00158,S015,P043,Fruits & Vegetables,2026-06-16 17:26:00,2026-06-16 17:36:00,2026-06-16 17:35:04,2026-06-16 17:35:04,9.066666666666666,Bengaluru,Jayanagar,bike,17,1,0,0.5997013970933444,1
O00519,S016,P001,Grocery,2026-06-18 21:53:00,2026-06-18 22:03:00,2026-06-18 21:58:16,2026-06-18 21:58:16,5.266666666666667,Bengaluru,Marathahalli,scooter,21,1,0,0.5817162123236529,1
O00988,S016,P034,Snacks,2026-06-10 14:05:00,2026-06-10 14:15:00,2026-06-10 14:11:36,2026-06-10 14:11:36,6.6,Bengaluru,Marathahalli,bike,14,1,0,0.413297306180034,0
